workoutid,userid,date,sessiontag,total_sets,total_reps,volume_kg,sRPE
11986,68,2027-10-22,Legs,12,80,2402.0,8.62
11987,68,2027-10-23,Push,7,69,1835.0,8.0
11988,68,2027-10-24,Pull,5,68,1616.5,7.6
11990,68,2027-10-27,Push,7,69,1637.0,8.29
11991,68,2027-10-29,Pull,7,64,1711.25,8.36
11992,68,2027-10-31,Legs,7,60,1554.75,8.14
11993,68,2027-11-03,Push,9,79,1999.75,8.22
11994,68,2027-11-04,Pull,9,79,2244.0,7.94
11995,68,2027-11-06,Legs,9,89,2405.5,8.06
11996,68,2027-11-07,Push,8,79,1873.5,7.94
11997,69,2026-09-25,Legs,14,111,4074.75,7.46
11999,69,2026-09-29,Pull,11,105,2717.75,7.45
12000,69,2026-10-01,Legs,9,84,2821.25,7.17
12001,69,2026-10-02,Push,9,92,2832.75,7.39
12002,69,2026-10-05,Pull,6,75,1997.5,7.08
12003,69,2026-10-06,Legs,8,77,2401.5,7.44
12004,69,2026-10-08,Push,7,70,2115.75,7.07
12005,69,2026-10-09,Pull,5,59,1212.75,7.0
12006,69,2026-10-11,Legs,7,63,2084.0,7.29
12007,69,2026-10-13,Push,8,67,2094.0,7.19
12008,69,2026-10-15,Pull,6,64,1670.5,7.42
12009,69,2026-10-16,Legs,5,36,1251.5,7.75
12010,69,2026-10-18,Push,10,77,2420.75,7.6
12011,69,2026-10-20,Pull,7,66,1744.5,7.0
12012,69,2026-10-23,Legs,10,90,3148.25,7.95
12013,69,2026-10-25,Push,11,115,3443.25,7.32
12014,69,2026-10-27,Pull,4,39,1063.0,7.38
12016,69,2026-10-30,Push,7,82,2389.25,7.07
12017,69,2026-11-01,Pull,9,101,2741.0,7.44
12018,69,2026-11-03,Legs,6,43,1467.25,7.75
12020,69,2026-11-06,Pull,6,57,1526.25,7.25
12021,69,2026-11-08,Legs,5,52,1676.75,7.2
12022,69,2026-11-11,Push,15,136,4061.25,7.36
12023,69,2026-11-12,Pull,12,148,3448.5,7.12
12024,69,2026-11-14,Legs,10,56,1930.75,7.7
12025,69,2026-11-15,Push,14,104,3342.25,7.43
12026,69,2026-11-18,Pull,6,67,1760.0,7.75
12027,69,2026-11-19,Legs,6,60,1872.25,7.5
12028,69,2026-11-20,Push,6,53,1617.5,7.42
12029,69,2026-11-22,Pull,5,55,1571.0,7.2
12030,69,2026-11-25,Legs,5,42,1517.5,7.4
12031,69,2026-11-26,Push,9,82,2621.0,7.44
12032,69,2026-11-27,Pull,6,65,1735.0,7.33
12033,69,2026-11-29,Legs,4,41,1458.75,7.62
12034,69,2026-12-01,Push,7,50,1598.0,7.5
12035,69,2026-12-04,Pull,6,66,1665.75,7.4
12036,69,2026-12-06,Legs,9,63,2359.5,7.22
12037,69,2026-12-08,Push,10,105,3152.25,7.06
12038,69,2026-12-11,Pull,13,120,3156.75,7.81
12039,69,2026-12-12,Legs,6,65,1673.0,7.67
12040,69,2026-12-15,Push,9,98,2791.25,7.0
12041,69,2026-12-17,Pull,7,72,1751.25,7.36
12042,69,2026-12-18,Legs,7,44,1575.25,8.08
12043,69,2026-12-20,Push,7,73,2210.5,7.57
12044,69,2026-12-22,Pull,9,86,2441.25,7.5
12045,69,2026-12-24,Legs,6,50,1604.75,7.42
12046,69,2026-12-27,Push,10,92,2587.0,7.05
12047,69,2026-12-30,Pull,7,76,1912.75,7.21
12048,69,2026-12-31,Legs,8,55,1860.5,7.69
12049,69,2027-01-01,Push,8,69,2121.75,7.38
12050,69,2027-01-03,Pull,6,55,1682.75,7.5
12051,69,2027-01-05,Legs,6,58,1967.25,7.08
12052,69,2027-01-07,Push,9,78,2418.75,7.17
12053,69,2027-01-10,Pull,6,58,1479.75,7.17
12054,69,2027-01-12,Legs,7,43,1526.5,7.93
12056,69,2027-01-16,Pull,11,100,2853.5,7.59
12057,69,2027-01-17,Legs,13,146,4874.5,7.27
12058,69,2027-01-20,Push,11,128,3527.0,7.32
12059,69,2027-01-23,Pull,5,52,1364.0,7.1
12060,69,2027-01-24,Legs,4,32,1194.5,8.0
12061,69,2027-01-25,Push,10,73,2273.75,8.0
12062,69,2027-01-28,Pull,6,70,1763.0,7.25
12064,69,2027-01-30,Push,8,72,2270.75,7.38
12065,69,2027-02-02,Pull,7,67,1933.75,7.57
12066,69,2027-02-03,Legs,10,87,3067.75,7.5
12069,69,2027-02-09,Legs,5,48,1660.0,6.7
12070,69,2027-02-11,Push,10,74,2436.75,7.85
12071,69,2027-02-12,Pull,7,62,1712.25,6.64
12072,69,2027-02-14,Legs,7,48,1620.75,7.57
12073,69,2027-02-17,Push,8,73,2313.75,7.29
12074,69,2027-02-19,Pull,11,136,3261.25,6.85
12075,69,2027-02-21,Legs,13,100,3565.25,7.85
12077,69,2027-02-24,Pull,8,68,1892.25,7.25
12078,69,2027-02-26,Legs,6,42,1440.75,7.67
12079,69,2027-02-28,Push,7,44,1550.5,7.86
12080,69,2027-03-01,Pull,4,43,1013.0,6.5
12082,69,2027-03-06,Push,6,36,1178.25,7.75
12084,69,2027-03-12,Legs,7,71,2367.0,7.21
12086,69,2027-03-16,Pull,13,143,3789.5,7.27
12089,69,2027-03-23,Pull,12,113,3143.0,7.38
12091,69,2027-03-27,Push,13,93,3052.75,7.62
12092,69,2027-03-28,Pull,9,100,2765.75,7.67
12093,69,2027-03-31,Legs,11,84,2848.25,7.64
12094,69,2027-04-01,Push,8,87,2468.5,7.56
12095,69,2027-04-02,Pull,6,61,1704.25,7.17
12096,69,2027-04-04,Legs,6,55,1684.25,7.75
12097,69,2027-04-06,Push,8,84,2491.25,7.12
12098,69,2027-04-08,Pull,6,81,2139.0,6.75
12099,69,2027-04-11,Legs,8,75,2598.5,7.56
12100,69,2027-04-13,Push,11,93,3054.0,7.65
12101,69,2027-04-15,Pull,5,51,1412.0,8.0
12102,69,2027-04-16,Legs,8,59,2290.75,7.38
12103,69,2027-04-18,Push,8,64,2183.5,7.57
12104,69,2027-04-20,Pull,10,109,2781.75,7.65
12105,69,2027-04-22,Legs,8,55,1793.75,8.0
12106,69,2027-04-23,Push,10,91,2702.5,7.4
12108,69,2027-04-27,Legs,7,53,2008.25,7.5
12109,69,2027-04-29,Push,7,75,2227.5,6.5
12110,69,2027-04-30,Pull,6,62,1724.25,7.5
12111,69,2027-05-02,Legs,7,72,2083.25,7.0
12112,69,2027-05-04,Push,14,115,3612.75,7.96
12113,69,2027-05-06,Pull,5,40,1109.5,7.8
12114,69,2027-05-09,Legs,7,57,2165.75,7.93
12115,69,2027-05-11,Push,9,90,2727.25,7.39
12116,69,2027-05-12,Pull,5,57,1188.75,7.38
12117,69,2027-05-13,Legs,6,55,1918.0,7.75
12118,69,2027-05-16,Push,7,89,2460.0,7.0
12119,69,2027-05-18,Pull,9,108,3012.0,7.22
12120,69,2027-05-20,Legs,11,97,3320.0,7.45
12121,69,2027-05-22,Push,7,63,2106.5,7.43
12122,69,2027-05-25,Pull,5,43,1153.0,7.7
12123,69,2027-05-27,Legs,6,43,1520.25,7.5
12124,69,2027-05-28,Push,11,107,3151.0,7.05
12125,69,2027-05-30,Pull,6,62,1754.25,7.25
12126,69,2027-06-02,Legs,7,57,2073.25,7.5
12127,69,2027-06-04,Push,6,44,1393.5,7.75
12128,69,2027-06-07,Pull,7,82,2278.25,7.0
12130,69,2027-06-10,Push,7,66,2055.25,7.21
12132,69,2027-06-13,Legs,10,89,3148.5,7.45
12134,69,2027-06-17,Pull,10,121,3128.5,7.25
12135,69,2027-06-18,Legs,11,76,2704.0,7.64
12137,69,2027-06-22,Pull,5,55,1460.5,7.3
12138,69,2027-06-24,Legs,7,61,2359.75,7.36
12139,69,2027-06-25,Push,6,61,1824.0,7.42
12140,69,2027-06-27,Pull,12,123,3349.25,7.14
12142,69,2027-07-01,Push,14,143,4300.0,7.54
12143,69,2027-07-03,Pull,9,79,2429.75,7.83
12145,69,2027-07-06,Push,7,67,1906.25,7.07
12146,69,2027-07-08,Pull,7,86,2346.75,7.07
12147,69,2027-07-11,Legs,9,66,2256.75,7.81
12148,69,2027-07-13,Push,10,100,3209.75,7.6
12149,69,2027-07-15,Pull,5,65,1698.75,6.62
12151,69,2027-07-18,Push,8,86,2696.5,6.69
12152,69,2027-07-21,Pull,11,111,3245.75,7.41
12154,69,2027-07-24,Push,8,60,1586.0,7.62
12155,69,2027-07-27,Pull,6,50,1446.75,7.17
12156,69,2027-07-29,Legs,10,98,3371.75,7.3
12157,69,2027-07-31,Push,7,65,1937.25,7.43
12158,69,2027-08-01,Pull,6,72,1842.0,7.25
12159,69,2027-08-03,Legs,10,81,2945.75,7.45
12160,69,2027-08-04,Push,5,64,1868.25,7.3
12162,69,2027-08-09,Legs,5,40,1474.0,7.38
12163,69,2027-08-10,Push,9,71,2322.25,7.22
12164,69,2027-08-11,Pull,5,48,1330.75,7.0
12165,69,2027-08-13,Legs,9,81,2701.5,7.11
12166,69,2027-08-15,Push,8,74,2355.5,7.44
12167,69,2027-08-18,Pull,6,46,1377.0,8.0
12168,69,2027-08-20,Legs,12,89,3144.0,7.46
12169,69,2027-08-23,Push,14,124,3991.75,7.54
12170,69,2027-08-24,Pull,5,63,1581.0,6.9
12171,69,2027-08-26,Legs,6,32,1177.75,8.17
12172,69,2027-08-28,Push,9,71,2268.5,7.89
12173,69,2027-08-29,Pull,4,43,1223.25,7.0
12174,69,2027-08-31,Legs,6,48,1651.0,7.67
12175,69,2027-09-02,Push,8,94,2854.75,7.06
12177,69,2027-09-06,Legs,7,67,2506.5,7.5
12178,69,2027-09-07,Push,6,61,1957.5,7.42
12179,69,2027-09-10,Pull,6,64,2010.25,7.1
12180,69,2027-09-12,Legs,6,41,1360.25,7.5
12181,69,2027-09-13,Push,8,74,2250.75,7.12
12182,69,2027-09-15,Pull,7,84,2137.25,7.36
12183,69,2027-09-18,Legs,6,54,1847.0,7.17
12184,69,2027-09-19,Push,12,123,3787.25,7.25
12185,69,2027-09-22,Pull,6,65,1785.75,7.17
12186,69,2027-09-23,Legs,6,44,1414.5,7.5
12187,69,2027-09-25,Push,7,56,1792.75,7.79
12188,69,2027-09-27,Pull,4,46,1298.0,7.12
12189,69,2027-09-30,Legs,9,83,2852.25,7.39
12190,69,2027-10-03,Push,6,56,1739.5,7.67
12191,70,2026-04-27,FullBody-A,12,139,5680.25,7.75
12192,70,2026-04-28,FullBody-B,12,108,5070.5,8.04
12193,70,2026-05-01,FullBody-C,8,101,4412.75,7.88
12194,70,2026-05-02,FullBody-A,5,47,1934.5,8.1
12195,70,2026-05-03,FullBody-B,6,67,2913.5,8.25
12196,70,2026-05-04,FullBody-C,7,69,2919.25,7.93
12197,70,2026-05-05,FullBody-A,6,68,2652.5,7.83
12198,70,2026-05-08,FullBody-B,7,71,3264.25,8.14
12199,70,2026-05-09,FullBody-C,5,48,1952.75,8.1
12200,70,2026-05-10,FullBody-A,7,89,3352.5,7.67
12201,70,2026-05-11,FullBody-B,8,77,3563.75,8.43
12202,70,2026-05-13,FullBody-C,12,145,5497.25,7.92
12203,70,2026-05-15,FullBody-A,13,141,5093.75,7.81
12204,70,2026-05-16,FullBody-B,13,124,5543.25,8.6
12205,70,2026-05-17,FullBody-C,9,79,3211.75,8.28
12207,70,2026-05-19,FullBody-B,6,42,1873.5,8.08
12208,70,2026-05-21,FullBody-C,6,66,2405.75,7.75
12209,70,2026-05-23,FullBody-A,7,66,2569.25,8.21
12210,70,2026-05-25,FullBody-B,8,53,2367.5,8.56
12211,70,2026-05-27,FullBody-C,11,103,4125.25,8.5
12212,70,2026-05-29,FullBody-A,15,167,5834.75,7.86
12213,70,2026-05-30,FullBody-B,12,83,3883.5,8.42
12214,70,2026-05-31,FullBody-C,13,109,4339.25,8.19
12216,70,2026-06-05,FullBody-B,11,119,4743.0,8.25
12217,70,2026-06-06,FullBody-C,17,201,7719.25,7.71
12218,70,2026-06-07,FullBody-A,13,100,4053.25,8.04
12219,70,2026-06-09,FullBody-B,7,60,2663.0,8.36
12220,70,2026-06-11,FullBody-C,9,79,3349.0,8.17
12221,70,2026-06-13,FullBody-A,7,91,3124.5,7.64
12222,70,2026-06-14,FullBody-B,7,77,3117.0,8.14
12223,70,2026-06-15,FullBody-C,12,110,4130.75,7.75
12224,70,2026-06-16,FullBody-A,7,65,2587.0,8.29
12225,70,2026-06-19,FullBody-B,7,57,2521.75,8.36
12226,70,2026-06-20,FullBody-C,7,86,3385.25,7.92
12227,70,2026-06-21,FullBody-A,8,89,3376.75,8.0
12228,70,2026-06-23,FullBody-B,11,103,4183.25,7.86
12230,70,2026-06-25,FullBody-A,10,78,3098.75,8.1
12231,70,2026-06-27,FullBody-B,6,45,2147.0,8.83
12232,70,2026-06-28,FullBody-C,7,67,2941.5,8.07
12233,70,2026-06-29,FullBody-A,8,75,2953.5,8.12
12234,70,2026-07-01,FullBody-B,8,70,3189.25,7.94
12235,70,2026-07-04,FullBody-C,12,111,4715.25,8.17
12236,70,2026-07-05,FullBody-A,8,77,2990.25,8.25
12237,70,2026-07-06,FullBody-B,8,86,3511.75,8.19
12238,70,2026-07-07,FullBody-C,10,116,4740.25,7.9
12239,70,2026-07-09,FullBody-A,6,54,2233.0,8.33
12240,70,2026-07-10,FullBody-B,8,70,3103.0,7.62
12242,70,2026-07-14,FullBody-A,8,91,3547.25,7.88
12243,70,2026-07-17,FullBody-B,10,85,4067.25,8.2
12246,70,2026-07-21,FullBody-B,5,43,2144.5,8.3
12247,70,2026-07-25,FullBody-C,8,48,2358.25,8.19
12248,70,2026-07-27,FullBody-A,14,146,5950.0,8.31
12249,70,2026-07-28,FullBody-B,10,111,4991.75,8.2
12250,70,2026-07-31,FullBody-C,11,91,4274.5,8.36
12252,70,2026-08-02,FullBody-B,5,31,1486.25,9.0
12253,70,2026-08-04,FullBody-C,6,52,2544.5,8.42
12254,70,2026-08-07,FullBody-A,9,108,4198.25,8.11
12255,70,2026-08-08,FullBody-B,7,51,2559.0,8.36
12256,70,2026-08-09,FullBody-C,4,34,1526.0,8.75
12257,70,2026-08-10,FullBody-A,8,74,3021.75,8.62
12258,70,2026-08-11,FullBody-B,7,55,1982.5,8.29
12260,70,2026-08-16,FullBody-A,8,77,3469.0,8.07
12261,70,2026-08-17,FullBody-B,6,49,2333.25,7.92
12262,70,2026-08-18,FullBody-C,7,88,4031.5,7.86
12263,70,2026-08-21,FullBody-A,11,97,4023.5,7.77
12264,70,2026-08-24,FullBody-B,14,113,5237.75,8.54
12265,70,2026-08-25,FullBody-C,13,130,5618.0,7.71
12266,70,2026-08-28,FullBody-A,12,141,5229.25,7.71
12267,70,2026-08-29,FullBody-B,12,88,4338.0,8.42
12268,70,2026-08-30,FullBody-C,8,79,3697.75,8.38
12269,70,2026-09-01,FullBody-A,7,77,2605.5,7.79
12270,70,2026-09-02,FullBody-B,5,44,2120.5,8.1
12271,70,2026-09-04,FullBody-C,10,107,4823.25,8.3
12272,70,2026-09-05,FullBody-A,7,65,2519.5,8.57
12273,70,2026-09-06,FullBody-B,7,74,3282.0,8.21
12274,70,2026-09-08,FullBody-C,8,81,3828.75,7.88
12275,70,2026-09-11,FullBody-A,10,114,4336.5,8.11
12276,70,2026-09-12,FullBody-B,11,109,5191.75,8.05
12277,70,2026-09-13,FullBody-C,6,59,2510.0,8.42
12278,70,2026-09-14,FullBody-A,9,108,4170.25,8.17
12279,70,2026-09-18,FullBody-B,8,81,3785.75,8.06
12280,70,2026-09-19,FullBody-C,8,71,3313.5,8.19
12281,70,2026-09-20,FullBody-A,15,136,5691.75,8.3
12282,70,2026-09-23,FullBody-B,8,75,3382.25,8.14
12283,70,2026-09-26,FullBody-C,7,61,2734.0,7.86
12284,70,2026-09-27,FullBody-A,6,57,2379.5,8.25
12285,70,2026-09-29,FullBody-B,12,119,5678.5,8.21
12286,70,2026-10-02,FullBody-C,13,117,5468.75,8.19
12287,70,2026-10-03,FullBody-A,8,73,2756.0,7.88
12288,70,2026-10-04,FullBody-B,7,64,3025.25,8.07
12289,70,2026-10-05,FullBody-C,8,90,3491.75,7.81
12291,70,2026-10-10,FullBody-B,6,51,2540.0,8.33
12292,70,2026-10-12,FullBody-C,9,84,3635.25,8.22
12293,70,2026-10-13,FullBody-A,8,74,3118.25,8.31
12295,70,2026-10-17,FullBody-C,13,130,5649.25,7.92
12296,70,2026-10-18,FullBody-A,7,81,3310.5,8.0
12297,70,2026-10-21,FullBody-B,6,59,2633.25,7.58
12298,70,2026-10-23,FullBody-C,8,71,3504.5,8.56
12299,70,2026-10-24,FullBody-A,6,47,2144.5,8.42
12300,70,2026-10-25,FullBody-B,6,45,2238.0,8.58
12301,70,2026-10-27,FullBody-C,14,130,5547.5,8.12
12302,70,2026-10-30,FullBody-A,16,160,6635.75,8.03
12303,70,2026-10-31,FullBody-B,11,100,4762.75,8.18
12304,70,2026-11-01,FullBody-C,9,92,4303.5,8.17
12305,70,2026-11-02,FullBody-A,6,58,2445.75,8.58
12306,70,2026-11-04,FullBody-B,8,69,3525.5,8.5
12307,70,2026-11-05,FullBody-C,6,64,2407.0,7.83
12309,70,2026-11-08,FullBody-B,6,61,2934.75,8.17
12310,70,2026-11-10,FullBody-C,6,46,2270.25,8.5
12312,70,2026-11-14,FullBody-B,6,61,3151.5,7.9
12313,70,2026-11-15,FullBody-C,13,110,5287.5,8.35
12314,70,2026-11-16,FullBody-A,14,142,6064.25,7.93
12315,70,2026-11-17,FullBody-B,7,72,3326.25,8.0
12316,70,2026-11-19,FullBody-C,7,81,3861.0,8.0
12317,70,2026-11-22,FullBody-A,9,96,4189.5,8.06
12318,70,2026-11-23,FullBody-B,7,52,2773.25,8.36
12319,70,2026-11-27,FullBody-C,7,76,3771.25,8.21
12320,70,2026-11-28,FullBody-A,9,80,3376.0,7.94
12321,70,2026-11-30,FullBody-B,8,67,3402.5,8.44
12322,70,2026-12-01,FullBody-C,7,72,3078.75,8.08
12323,70,2026-12-03,FullBody-A,7,83,3434.75,7.79
12324,70,2026-12-05,FullBody-B,7,78,3839.5,7.93
12325,70,2026-12-06,FullBody-C,9,101,4810.0,8.06
12328,70,2026-12-10,FullBody-C,7,90,4572.0,7.79
12329,70,2026-12-12,FullBody-A,15,164,6834.25,7.69
12330,70,2026-12-13,FullBody-B,15,133,6500.25,8.23
12331,70,2026-12-14,FullBody-C,9,86,3903.5,8.17
12332,70,2026-12-15,FullBody-A,8,89,3787.25,7.94
12333,70,2026-12-18,FullBody-B,5,31,1740.5,8.7
12334,70,2026-12-19,FullBody-C,11,108,4858.0,8.23
12335,70,2026-12-20,FullBody-A,7,94,3751.0,7.43
12336,70,2026-12-21,FullBody-B,6,57,2830.0,8.08
12337,70,2026-12-22,FullBody-C,7,57,2956.75,8.57
12338,70,2026-12-26,FullBody-A,9,92,3882.25,8.0
12339,70,2026-12-28,FullBody-B,6,60,3055.0,8.25
12340,70,2027-01-02,FullBody-C,9,84,3755.25,8.0
12342,70,2027-01-04,FullBody-B,7,69,3662.0,7.86
12343,70,2027-01-05,FullBody-C,8,82,3878.0,7.88
12344,70,2027-01-09,FullBody-A,13,105,4802.25,8.31
12345,70,2027-01-10,FullBody-B,11,102,5111.75,8.0
12346,70,2027-01-12,FullBody-C,7,69,3296.25,7.93
12347,70,2027-01-15,FullBody-A,5,49,2042.5,7.6
12348,70,2027-01-16,FullBody-B,8,76,4008.5,8.5
12349,70,2027-01-17,FullBody-C,6,52,2598.5,8.25
12350,70,2027-01-18,FullBody-A,11,125,4914.75,8.14
12351,70,2027-01-19,FullBody-B,5,48,2382.25,7.8
12353,70,2027-01-23,FullBody-A,7,70,3109.0,7.6
12354,70,2027-01-26,FullBody-B,4,40,2163.5,8.25
12355,70,2027-01-27,FullBody-C,6,60,3043.0,8.25
12356,70,2027-01-29,FullBody-A,7,73,3229.0,7.92
12357,70,2027-01-31,FullBody-B,7,65,3541.0,8.21
12358,70,2027-02-02,FullBody-C,8,81,3770.25,8.38
12359,70,2027-02-05,FullBody-A,12,155,6104.5,8.0
12360,70,2027-02-06,FullBody-B,8,92,4546.75,7.57
12361,70,2027-02-07,FullBody-C,7,69,3582.75,7.86
12362,70,2027-02-08,FullBody-A,7,77,3457.25,8.29
12363,70,2027-02-09,FullBody-B,7,51,2730.75,8.21
12364,70,2027-02-13,FullBody-C,8,55,2823.25,8.79
12365,70,2027-02-14,FullBody-A,8,77,3473.0,8.25
12366,70,2027-02-15,FullBody-B,5,52,2612.25,7.8
12367,70,2027-02-16,FullBody-C,7,61,2891.75,8.14
12368,70,2027-02-19,FullBody-A,7,67,3185.0,8.36
12369,70,2027-02-20,FullBody-B,5,48,2677.5,7.7
12370,70,2027-02-21,FullBody-C,14,162,8017.5,8.18
12371,70,2027-02-22,FullBody-A,8,83,3763.0,8.19
12372,70,2027-02-23,FullBody-B,8,67,3459.25,8.06
12373,70,2027-02-26,FullBody-C,8,66,3330.0,8.31
12374,70,2027-02-28,FullBody-A,5,48,2139.25,8.3
12375,70,2027-03-01,FullBody-B,7,56,3062.25,8.07
12376,70,2027-03-02,FullBody-C,7,68,3429.25,8.5
12378,70,2027-03-07,FullBody-B,8,81,4520.75,7.88
12379,70,2027-03-08,FullBody-C,13,117,5404.0,8.04
12380,70,2027-03-09,FullBody-A,14,150,6230.25,8.08
12381,70,2027-03-11,FullBody-B,8,59,3366.25,8.75
12382,70,2027-03-14,FullBody-C,10,78,3979.0,8.55
12383,70,2027-03-15,FullBody-A,13,164,7099.25,7.79
12384,70,2027-03-16,FullBody-B,12,98,5096.0,8.21
12385,70,2027-03-19,FullBody-C,13,125,6958.0,8.35
12386,70,2027-03-20,FullBody-A,9,80,3759.75,8.0
12387,70,2027-03-21,FullBody-B,6,53,3076.75,8.6
12388,70,2027-03-22,FullBody-C,7,52,2686.75,8.07
12389,70,2027-03-23,FullBody-A,8,77,3626.5,7.93
12390,70,2027-03-25,FullBody-B,6,58,2951.25,8.33
12391,70,2027-03-27,FullBody-C,8,67,3457.5,8.75
12392,70,2027-03-28,FullBody-A,8,87,3894.25,7.88
12393,70,2027-03-30,FullBody-B,10,86,4727.75,7.85
12394,70,2027-04-02,FullBody-C,15,152,7768.25,8.18
12396,70,2027-04-04,FullBody-B,14,94,5083.5,8.29
12397,70,2027-04-05,FullBody-C,16,175,9001.75,8.22
12399,70,2027-04-09,FullBody-B,10,77,4060.25,8.1
12400,70,2027-04-10,FullBody-C,11,104,5291.25,7.68
12401,70,2027-04-12,FullBody-A,16,180,8372.75,8.0
12402,70,2027-04-14,FullBody-B,14,112,6411.5,8.42
12403,70,2027-04-17,FullBody-C,14,147,7482.75,7.82
12404,70,2027-04-18,FullBody-A,13,130,6164.25,8.12
12405,70,2027-04-19,FullBody-B,10,70,4358.5,8.45
12406,70,2027-04-20,FullBody-C,14,138,6985.5,8.12
12407,70,2027-04-22,FullBody-A,16,177,8329.5,7.88
12408,70,2027-04-25,FullBody-B,13,106,6270.5,8.35
12409,70,2027-04-26,FullBody-C,14,136,7502.5,8.08
12410,70,2027-04-27,FullBody-A,13,140,6738.25,8.12
12411,70,2027-04-30,FullBody-B,6,35,2187.25,8.25
12412,70,2027-05-02,FullBody-C,6,64,3102.25,7.58
12413,70,2027-05-03,FullBody-A,6,66,3022.0,8.33
12415,70,2027-05-07,FullBody-C,14,110,6686.25,8.54
12416,70,2027-05-09,FullBody-A,6,60,3026.0,8.0
12417,70,2027-05-10,FullBody-B,5,31,1917.5,8.5
12418,70,2027-05-11,FullBody-C,7,69,3942.75,7.93
12419,70,2027-05-14,FullBody-A,9,95,4701.75,8.0
12420,70,2027-05-15,FullBody-B,7,47,2907.5,8.14
12421,70,2027-05-16,FullBody-C,14,134,8034.25,8.04
12422,70,2027-05-17,FullBody-A,11,112,5295.25,8.15
12423,70,2027-05-18,FullBody-B,8,62,3921.25,8.31
12424,70,2027-05-22,FullBody-C,10,118,6323.0,7.85
12425,70,2027-05-23,FullBody-A,8,72,3882.5,8.36
12426,70,2027-05-24,FullBody-B,7,59,3518.75,8.5
12427,70,2027-05-25,FullBody-C,6,68,3571.5,7.92
12428,70,2027-05-28,FullBody-A,7,57,2876.75,8.64
12429,70,2027-05-29,FullBody-B,7,71,4024.25,7.83
12430,70,2027-05-30,FullBody-C,9,85,4699.75,8.22
12431,70,2027-05-31,FullBody-A,10,64,3425.75,8.3
12432,70,2027-06-01,FullBody-B,7,67,3198.75,8.21
12433,70,2027-06-04,FullBody-C,7,81,4242.0,7.93
12435,70,2027-06-06,FullBody-B,6,64,3869.5,8.25
12436,70,2027-06-07,FullBody-C,8,67,4210.75,8.25
12437,70,2027-06-09,FullBody-A,9,56,3019.5,8.83
12438,70,2027-06-11,FullBody-B,7,57,3532.5,8.43
12439,70,2027-06-12,FullBody-C,9,95,4593.25,7.61
12440,70,2027-06-13,FullBody-A,7,53,2942.75,8.0
12441,70,2027-06-15,FullBody-B,15,134,8388.0,8.17
12442,70,2027-06-18,FullBody-C,10,93,5286.25,8.11
12443,70,2027-06-19,FullBody-A,8,80,4109.5,7.81
12444,70,2027-06-20,FullBody-B,7,69,3929.25,8.21
12445,70,2027-06-21,FullBody-C,11,115,6246.0,7.95
12446,70,2027-06-22,FullBody-A,7,69,3468.75,7.83
12447,70,2027-06-25,FullBody-B,6,59,3721.25,8.33
12448,70,2027-06-26,FullBody-C,8,62,3850.5,8.31
12449,70,2027-06-27,FullBody-A,8,83,4033.0,8.19
12450,70,2027-06-28,FullBody-B,8,81,4716.75,8.06
12451,70,2027-06-29,FullBody-C,9,104,5719.75,8.06
12452,70,2027-07-02,FullBody-A,7,67,3328.5,8.07
12453,70,2027-07-03,FullBody-B,7,49,3211.75,8.71
12454,70,2027-07-04,FullBody-C,9,101,5324.75,7.89
12455,70,2027-07-06,FullBody-A,7,65,3412.0,8.5
12456,70,2027-07-09,FullBody-B,6,45,3012.75,8.58
12457,70,2027-07-10,FullBody-C,10,93,4895.75,8.05
12458,70,2027-07-11,FullBody-A,7,69,3423.0,8.21
12460,70,2027-07-16,FullBody-C,14,126,7266.0,8.07
12461,70,2027-07-17,FullBody-A,7,78,3697.75,7.71
12462,70,2027-07-18,FullBody-B,7,55,3543.75,8.25
12463,70,2027-07-21,FullBody-C,8,72,4131.5,8.38
12464,70,2027-07-23,FullBody-A,8,77,3897.25,8.31
12465,70,2027-07-25,FullBody-B,6,58,3644.5,8.5
12466,70,2027-07-26,FullBody-C,6,50,2834.5,8.25
12467,71,2026-02-15,Pull,11,121,6020.75,7.45
12468,71,2026-02-16,Legs,14,107,5468.0,8.18
12469,71,2026-02-17,Push,7,63,2938.75,8.0
12470,71,2026-02-19,Pull,6,56,2740.0,8.58
12471,71,2026-02-21,Legs,9,64,3594.0,8.56
12473,71,2026-02-24,Pull,7,95,4171.25,7.5
12474,71,2026-02-26,Legs,16,144,7799.0,8.47
12475,71,2026-02-28,Push,9,86,4015.25,8.17
12476,71,2026-03-02,Pull,7,75,3588.5,7.42
12477,71,2026-03-03,Legs,10,72,4152.25,8.45
12478,71,2026-03-04,Push,5,62,2762.5,7.9
12479,71,2026-03-08,Pull,4,42,2025.25,7.62
12480,71,2026-03-10,Legs,10,70,3943.25,8.5
12482,71,2026-03-15,Pull,11,115,5562.0,8.18
12483,71,2026-03-16,Legs,16,118,6115.5,8.19
12485,71,2026-03-19,Pull,6,58,2895.5,7.5
12486,71,2026-03-23,Legs,8,50,2923.25,8.25
12487,71,2026-03-25,Push,7,79,3553.5,8.17
12488,71,2026-03-26,Pull,4,40,2047.5,7.88
12489,71,2026-03-29,Legs,8,56,2820.5,8.36
12490,71,2026-03-30,Push,5,51,2401.0,8.6
12491,71,2026-03-31,Pull,6,52,2465.25,8.33
12492,71,2026-04-03,Legs,12,116,6383.75,8.18
12493,71,2026-04-04,Push,7,65,3097.5,8.21
